12.612613, 12.544803, 12.451085, 12.250612
12.526843, 12.603529, 12.446657, 12.110727
12.867647, 12.815818, 12.639943, 12.451085
12.750456, 12.718023, 12.531328, 12.384996
12.671976, 12.617160, 12.477718, 12.306610
12.446657, 12.459950, 12.285012, 12.119113
12.522361, 12.491078, 12.354395, 12.161223
12.731903, 12.699565, 12.491078, 12.367492
12.745812, 12.745812, 12.540308, 12.367492
12.544803, 12.576357, 12.371863, 12.212143
12.276394, 12.302285, 12.098168, 11.998629
12.630819, 12.621710, 12.420156, 12.263490
12.558307, 12.576357, 12.367492, 12.190874
12.713404, 12.750456, 12.504466, 12.371863
12.839325, 12.792397, 12.589929, 12.437811
12.741173, 12.681159, 12.513407, 12.363123
12.773723, 12.759752, 12.544803, 12.398158
12.598992, 12.649078, 12.411347, 12.297962
12.612613, 12.612613, 12.371863, 12.302285
12.612613, 12.626263, 12.437811, 12.259194
12.727273, 12.694958, 12.446657, 12.371863
12.658228, 12.617160, 12.420156, 12.306610
12.811127, 12.727273, 12.567325, 12.420156
12.617160, 12.594459, 12.371863, 12.250612
12.585401, 12.612613, 12.367492, 12.276394
